ID,Casa,Categoría,Perfume,Tipo,Tamaño,UPC_EAN,SKU_GEORGINA,Foto_URL,Fuente,Precio_Referencia,Costo_GEORGINA,Precio_Venta_GEORGINA,Inventario,Proveedor,Estado,Notas
PERF-00020,Lattafa,Árabe,Asad,EDP/EDT/Parfum (verificar),,,LATTAFA-ASAD-0019,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00021,Lattafa,Árabe,Asad Bourbon,EDP/EDT/Parfum (verificar),,,LATTAFA-ASAD-BOURBON-0020,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00022,Lattafa,Árabe,Asad Elixir,EDP/EDT/Parfum (verificar),,,LATTAFA-ASAD-ELIXIR-0021,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00023,Lattafa,Árabe,Asad Zanzibar,EDP/EDT/Parfum (verificar),,,LATTAFA-ASAD-ZANZIBAR-0022,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00024,Lattafa,Árabe,Asdaaf Ameerat Al Arab,EDP/EDT/Parfum (verificar),,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-0023,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00025,Lattafa,Árabe,Asdaaf Ameerat Al Arab Prive Rose,EDP/EDT/Parfum (verificar),,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-P-0024,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00026,Lattafa,Árabe,Asdaaf Ameerat Al Arab Imperium,EDP/EDT/Parfum (verificar),,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-I-0025,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00027,Lattafa,Árabe,Asdaaf Fouad,EDP/EDT/Parfum (verificar),,,LATTAFA-ASDAAF-FOUAD-0026,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00028,Lattafa,Árabe,Asdaaf Reem,EDP/EDT/Parfum (verificar),,,LATTAFA-ASDAAF-REEM-0027,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00029,Lattafa,Árabe,Atheeri,EDP/EDT/Parfum (verificar),,,LATTAFA-ATHEERI-0028,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00030,Lattafa,Árabe,Azeezah,EDP/EDT/Parfum (verificar),,,LATTAFA-AZEEZAH-0029,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00031,Lattafa,Árabe,Bade'e Al Oud Amethyst,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-AMETHYST-0030,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00032,Lattafa,Árabe,Bade'e Al Oud Honor & Glory,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-HONOR-GLOR-0031,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00033,Lattafa,Árabe,Bade'e Al Oud Sublime,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-SUBLIME-0032,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00034,Lattafa,Árabe,Bade'e Al Oud Oud for Glory,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-OUD-FOR-GL-0033,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00035,Lattafa,Árabe,Bade'e Al Oud Noble Blush,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-NOBLE-BLUS-0034,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00036,Lattafa,Árabe,Bade'e Al Oud Oud for Glory Extreme,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-OUD-FOR-GL-0035,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00037,Lattafa,Árabe,Bade'e Al Oud Sublime Rose,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-SUBLIME-RO-0036,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00038,Lattafa,Árabe,Bade'e Al Oud Honor & Glory Limited Edition,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-HONOR-GLOR-0037,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00039,Lattafa,Árabe,Bade'e Al Oud Amethyst Limited Edition,EDP/EDT/Parfum (verificar),,,LATTAFA-BADE-E-AL-OUD-AMETHYST-L-0038,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00040,Lattafa,Árabe,Confidential Private Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-CONFIDENTIAL-PRIVATE-GOL-0039,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00041,Lattafa,Árabe,Confidential Private Gold Intense,EDP/EDT/Parfum (verificar),,,LATTAFA-CONFIDENTIAL-PRIVATE-GOL-0040,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00042,Lattafa,Árabe,Confidential Private Oud,EDP/EDT/Parfum (verificar),,,LATTAFA-CONFIDENTIAL-PRIVATE-OUD-0041,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00043,Lattafa,Árabe,Confidential Private Blue,EDP/EDT/Parfum (verificar),,,LATTAFA-CONFIDENTIAL-PRIVATE-BLU-0042,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00044,Lattafa,Árabe,Confidential Private Musk,EDP/EDT/Parfum (verificar),,,LATTAFA-CONFIDENTIAL-PRIVATE-MUS-0043,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00045,Lattafa,Árabe,Dalal,EDP/EDT/Parfum (verificar),,,LATTAFA-DALAL-0044,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00046,Lattafa,Árabe,Ejaazi,EDP/EDT/Parfum (verificar),,,LATTAFA-EJAAZI-0045,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00047,Lattafa,Árabe,Ejaazi Intensive Silver,EDP/EDT/Parfum (verificar),,,LATTAFA-EJAAZI-INTENSIVE-SILVER-0046,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00048,Lattafa,Árabe,Eclaire,EDP/EDT/Parfum (verificar),,,LATTAFA-ECLAIRE-0047,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00049,Lattafa,Árabe,Fakhar Black,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-BLACK-0048,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00050,Lattafa,Árabe,Fakhar Extrait,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-EXTRAIT-0049,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00051,Lattafa,Árabe,Fakhar Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-GOLD-0050,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00052,Lattafa,Árabe,Fakhar Rose,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-ROSE-0051,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00053,Lattafa,Árabe,Fakhar Women,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-WOMEN-0052,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00054,Lattafa,Árabe,Fakhar Men,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-MEN-0053,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00055,Lattafa,Árabe,Fakhar Platin,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-PLATIN-0054,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00056,Lattafa,Árabe,Fakhar Extrait Pour Homme,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-EXTRAIT-POUR-HOMM-0055,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00057,Lattafa,Árabe,Fakhar Gold Extrait,EDP/EDT/Parfum (verificar),,,LATTAFA-FAKHAR-GOLD-EXTRAIT-0056,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00058,Lattafa,Árabe,Fahad,EDP/EDT/Parfum (verificar),,,LATTAFA-FAHAD-0057,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00059,Lattafa,Árabe,Fame,EDP/EDT/Parfum (verificar),,,LATTAFA-FAME-0058,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00060,Lattafa,Árabe,Fame Intense,EDP/EDT/Parfum (verificar),,,LATTAFA-FAME-INTENSE-0059,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00061,Lattafa,Árabe,Fattan,EDP/EDT/Parfum (verificar),,,LATTAFA-FATTAN-0060,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00062,Lattafa,Árabe,Fattan Pour Homme,EDP/EDT/Parfum (verificar),,,LATTAFA-FATTAN-POUR-HOMME-0061,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00063,Lattafa,Árabe,Haya,EDP/EDT/Parfum (verificar),,,LATTAFA-HAYA-0062,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00064,Lattafa,Árabe,Hayaati Gold Elixir,EDP/EDT/Parfum (verificar),,,LATTAFA-HAYAATI-GOLD-ELIXIR-0063,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00065,Lattafa,Árabe,Hayaati Black,EDP/EDT/Parfum (verificar),,,LATTAFA-HAYAATI-BLACK-0064,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00066,Lattafa,Árabe,Hayaati Florence,EDP/EDT/Parfum (verificar),,,LATTAFA-HAYAATI-FLORENCE-0065,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00067,Lattafa,Árabe,His Confession,EDP/EDT/Parfum (verificar),,,LATTAFA-HIS-CONFESSION-0066,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00068,Lattafa,Árabe,His Confession Night Club,EDP/EDT/Parfum (verificar),,,LATTAFA-HIS-CONFESSION-NIGHT-CLU-0067,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00069,Lattafa,Árabe,Ishq Al Shuyukh Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-ISHQ-AL-SHUYUKH-GOLD-0068,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00070,Lattafa,Árabe,Ishq Al Shuyukh Silver,EDP/EDT/Parfum (verificar),,,LATTAFA-ISHQ-AL-SHUYUKH-SILVER-0069,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00071,Lattafa,Árabe,Ishq Al Shuyukh Final Edition,EDP/EDT/Parfum (verificar),,,LATTAFA-ISHQ-AL-SHUYUKH-FINAL-ED-0070,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00072,Lattafa,Árabe,Khamrah,EDP/EDT/Parfum (verificar),,,LATTAFA-KHAMRAH-0071,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00073,Lattafa,Árabe,Khamrah Qahwa,EDP/EDT/Parfum (verificar),,,LATTAFA-KHAMRAH-QAHWA-0072,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00074,Lattafa,Árabe,Khamrah Dukhan,EDP/EDT/Parfum (verificar),,,LATTAFA-KHAMRAH-DUKHAN-0073,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00075,Lattafa,Árabe,Khamrah Elixir,EDP/EDT/Parfum (verificar),,,LATTAFA-KHAMRAH-ELIXIR-0074,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00076,Lattafa,Árabe,Khamrah Waha,EDP/EDT/Parfum (verificar),,,LATTAFA-KHAMRAH-WAHA-0075,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00077,Lattafa,Árabe,Khalis,EDP/EDT/Parfum (verificar),,,LATTAFA-KHALIS-0076,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00078,Lattafa,Árabe,Liam Grey,EDP/EDT/Parfum (verificar),,,LATTAFA-LIAM-GREY-0077,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00079,Lattafa,Árabe,Liam Blue Shine,EDP/EDT/Parfum (verificar),,,LATTAFA-LIAM-BLUE-SHINE-0078,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00080,Lattafa,Árabe,Liam Blue Shine Extrait,EDP/EDT/Parfum (verificar),,,LATTAFA-LIAM-BLUE-SHINE-EXTRAIT-0079,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00081,Lattafa,Árabe,Liam Silver,EDP/EDT/Parfum (verificar),,,LATTAFA-LIAM-SILVER-0080,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00082,Lattafa,Árabe,Liam Blue,EDP/EDT/Parfum (verificar),,,LATTAFA-LIAM-BLUE-0081,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00083,Lattafa,Árabe,Maahir Black Edition,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-BLACK-EDITION-0082,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00084,Lattafa,Árabe,Maahir Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-GOLD-0083,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00085,Lattafa,Árabe,Maahir Legacy,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-LEGACY-0084,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00086,Lattafa,Árabe,Maahir Legacy Silver,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-LEGACY-SILVER-0085,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00087,Lattafa,Árabe,Maahir Gold Edition,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-GOLD-EDITION-0086,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00088,Lattafa,Árabe,Maahir Honor,EDP/EDT/Parfum (verificar),,,LATTAFA-MAAHIR-HONOR-0087,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00089,Lattafa,Árabe,Masa,EDP/EDT/Parfum (verificar),,,LATTAFA-MASA-0088,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00090,Lattafa,Árabe,Mayar,EDP/EDT/Parfum (verificar),,,LATTAFA-MAYAR-0089,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00091,Lattafa,Árabe,Mayar Natural Intense,EDP/EDT/Parfum (verificar),,,LATTAFA-MAYAR-NATURAL-INTENSE-0090,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00092,Lattafa,Árabe,Mayar Cherry Intense,EDP/EDT/Parfum (verificar),,,LATTAFA-MAYAR-CHERRY-INTENSE-0091,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00093,Lattafa,Árabe,Mayar Rose,EDP/EDT/Parfum (verificar),,,LATTAFA-MAYAR-ROSE-0092,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00094,Lattafa,Árabe,Mawj,EDP/EDT/Parfum (verificar),,,LATTAFA-MAWJ-0093,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00095,Lattafa,Árabe,Mawj Moscow Mule,EDP/EDT/Parfum (verificar),,,LATTAFA-MAWJ-MOSCOW-MULE-0094,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00096,Lattafa,Árabe,Mawj Appletini,EDP/EDT/Parfum (verificar),,,LATTAFA-MAWJ-APPLETINI-0095,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00097,Lattafa,Árabe,Mawj Cognac,EDP/EDT/Parfum (verificar),,,LATTAFA-MAWJ-COGNAC-0096,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00098,Lattafa,Árabe,Musk Mood,EDP/EDT/Parfum (verificar),,,LATTAFA-MUSK-MOOD-0097,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00099,Lattafa,Árabe,Musk Mood Elixir,EDP/EDT/Parfum (verificar),,,LATTAFA-MUSK-MOOD-ELIXIR-0098,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00100,Lattafa,Árabe,Najdia,EDP/EDT/Parfum (verificar),,,LATTAFA-NAJDIA-0099,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00101,Lattafa,Árabe,Najdia Tribute,EDP/EDT/Parfum (verificar),,,LATTAFA-NAJDIA-TRIBUTE-0100,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00102,Lattafa,Árabe,Najdia Intense,EDP/EDT/Parfum (verificar),,,LATTAFA-NAJDIA-INTENSE-0101,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00103,Lattafa,Árabe,Nebras,EDP/EDT/Parfum (verificar),,,LATTAFA-NEBRAS-0102,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00104,Lattafa,Árabe,Niche Emarati Antique,EDP/EDT/Parfum (verificar),,,LATTAFA-NICHE-EMARATI-ANTIQUE-0103,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00105,Lattafa,Árabe,Niche Emarati Antique Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-NICHE-EMARATI-ANTIQUE-GO-0104,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00106,Lattafa,Árabe,Niche Emarati Al Nashama,EDP/EDT/Parfum (verificar),,,LATTAFA-NICHE-EMARATI-AL-NASHAMA-0105,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00107,Lattafa,Árabe,Niche Emarati Khalidi,EDP/EDT/Parfum (verificar),,,LATTAFA-NICHE-EMARATI-KHALIDI-0106,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00108,Lattafa,Árabe,Niche Emarati Raw Human,EDP/EDT/Parfum (verificar),,,LATTAFA-NICHE-EMARATI-RAW-HUMAN-0107,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00109,Lattafa,Árabe,Noble Blush,EDP/EDT/Parfum (verificar),,,LATTAFA-NOBLE-BLUSH-0108,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00110,Lattafa,Árabe,Opulent Oud,EDP/EDT/Parfum (verificar),,,LATTAFA-OPULENT-OUD-0109,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00111,Lattafa,Árabe,Opulent Dubai,EDP/EDT/Parfum (verificar),,,LATTAFA-OPULENT-DUBAI-0110,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00112,Lattafa,Árabe,Opulent Musk,EDP/EDT/Parfum (verificar),,,LATTAFA-OPULENT-MUSK-0111,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00113,Lattafa,Árabe,Opulent Red,EDP/EDT/Parfum (verificar),,,LATTAFA-OPULENT-RED-0112,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00114,Lattafa,Árabe,Opulent Blue,EDP/EDT/Parfum (verificar),,,LATTAFA-OPULENT-BLUE-0113,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00115,Lattafa,Árabe,Qaed Al Fursan,EDP/EDT/Parfum (verificar),,,LATTAFA-QAED-AL-FURSAN-0114,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00116,Lattafa,Árabe,Qaed Al Fursan Unlimited,EDP/EDT/Parfum (verificar),,,LATTAFA-QAED-AL-FURSAN-UNLIMITED-0115,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00117,Lattafa,Árabe,Qaed Al Fursan Untamed,EDP/EDT/Parfum (verificar),,,LATTAFA-QAED-AL-FURSAN-UNTAMED-0116,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00118,Lattafa,Árabe,Qaed Al Fursan Flamboyant,EDP/EDT/Parfum (verificar),,,LATTAFA-QAED-AL-FURSAN-FLAMBOYAN-0117,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00119,Lattafa,Árabe,Ra'ed Luxe,EDP/EDT/Parfum (verificar),,,LATTAFA-RA-ED-LUXE-0118,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00120,Lattafa,Árabe,Ra'ed Silver,EDP/EDT/Parfum (verificar),,,LATTAFA-RA-ED-SILVER-0119,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00121,Lattafa,Árabe,Ra'ed Oud,EDP/EDT/Parfum (verificar),,,LATTAFA-RA-ED-OUD-0120,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
