ID,Casa,Categoría,Perfume,Descripción_Corta,Género,Concentración,Tamaño,UPC_EAN,SKU_GEORGINA,Inspirado_En,Casa_Original,Tipo_Relación,Similitud_Estimada,Es_1_a_1,Foto_URL,Fuente,Precio_Referencia,Costo_GEORGINA,Precio_Venta_GEORGINA,Inventario,Proveedor,Estado,Notas
PERF-00031,Lattafa,Árabe,Bade'e Al Oud Amethyst,,,,,,LATTAFA-BADE-E-AL-OUD-AMETHYST-0030,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00032,Lattafa,Árabe,Bade'e Al Oud Honor & Glory,,,,,,LATTAFA-BADE-E-AL-OUD-HONOR-GLOR-0031,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00033,Lattafa,Árabe,Bade'e Al Oud Sublime,,,,,,LATTAFA-BADE-E-AL-OUD-SUBLIME-0032,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00034,Lattafa,Árabe,Bade'e Al Oud Oud for Glory,,,,,,LATTAFA-BADE-E-AL-OUD-OUD-FOR-GL-0033,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00035,Lattafa,Árabe,Bade'e Al Oud Noble Blush,,,,,,LATTAFA-BADE-E-AL-OUD-NOBLE-BLUS-0034,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00036,Lattafa,Árabe,Bade'e Al Oud Oud for Glory Extreme,,,,,,LATTAFA-BADE-E-AL-OUD-OUD-FOR-GL-0035,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00037,Lattafa,Árabe,Bade'e Al Oud Sublime Rose,,,,,,LATTAFA-BADE-E-AL-OUD-SUBLIME-RO-0036,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00038,Lattafa,Árabe,Bade'e Al Oud Honor & Glory Limited Edition,,,,,,LATTAFA-BADE-E-AL-OUD-HONOR-GLOR-0037,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00039,Lattafa,Árabe,Bade'e Al Oud Amethyst Limited Edition,,,,,,LATTAFA-BADE-E-AL-OUD-AMETHYST-L-0038,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00040,Lattafa,Árabe,Confidential Private Gold,,,,,,LATTAFA-CONFIDENTIAL-PRIVATE-GOL-0039,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00041,Lattafa,Árabe,Confidential Private Gold Intense,,,,,,LATTAFA-CONFIDENTIAL-PRIVATE-GOL-0040,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00042,Lattafa,Árabe,Confidential Private Oud,,,,,,LATTAFA-CONFIDENTIAL-PRIVATE-OUD-0041,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00043,Lattafa,Árabe,Confidential Private Blue,,,,,,LATTAFA-CONFIDENTIAL-PRIVATE-BLU-0042,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00044,Lattafa,Árabe,Confidential Private Musk,,,,,,LATTAFA-CONFIDENTIAL-PRIVATE-MUS-0043,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00045,Lattafa,Árabe,Dalal,,,,,,LATTAFA-DALAL-0044,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00046,Lattafa,Árabe,Ejaazi,,,,,,LATTAFA-EJAAZI-0045,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00047,Lattafa,Árabe,Ejaazi Intensive Silver,,,,,,LATTAFA-EJAAZI-INTENSIVE-SILVER-0046,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00048,Lattafa,Árabe,Eclaire,,,,,,LATTAFA-ECLAIRE-0047,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00049,Lattafa,Árabe,Fakhar Black,,,,,,LATTAFA-FAKHAR-BLACK-0048,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00050,Lattafa,Árabe,Fakhar Extrait,,,,,,LATTAFA-FAKHAR-EXTRAIT-0049,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00051,Lattafa,Árabe,Fakhar Gold,,,,,,LATTAFA-FAKHAR-GOLD-0050,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00052,Lattafa,Árabe,Fakhar Rose,,,,,,LATTAFA-FAKHAR-ROSE-0051,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00053,Lattafa,Árabe,Fakhar Women,,,,,,LATTAFA-FAKHAR-WOMEN-0052,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00054,Lattafa,Árabe,Fakhar Men,,,,,,LATTAFA-FAKHAR-MEN-0053,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00055,Lattafa,Árabe,Fakhar Platin,,,,,,LATTAFA-FAKHAR-PLATIN-0054,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00056,Lattafa,Árabe,Fakhar Extrait Pour Homme,,,,,,LATTAFA-FAKHAR-EXTRAIT-POUR-HOMM-0055,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00057,Lattafa,Árabe,Fakhar Gold Extrait,,,,,,LATTAFA-FAKHAR-GOLD-EXTRAIT-0056,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00058,Lattafa,Árabe,Fahad,,,,,,LATTAFA-FAHAD-0057,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00059,Lattafa,Árabe,Fame,,,,,,LATTAFA-FAME-0058,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00060,Lattafa,Árabe,Fame Intense,,,,,,LATTAFA-FAME-INTENSE-0059,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00061,Lattafa,Árabe,Fattan,,,,,,LATTAFA-FATTAN-0060,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00062,Lattafa,Árabe,Fattan Pour Homme,,,,,,LATTAFA-FATTAN-POUR-HOMME-0061,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00063,Lattafa,Árabe,Haya,,,,,,LATTAFA-HAYA-0062,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00064,Lattafa,Árabe,Hayaati Gold Elixir,,,,,,LATTAFA-HAYAATI-GOLD-ELIXIR-0063,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00065,Lattafa,Árabe,Hayaati Black,,,,,,LATTAFA-HAYAATI-BLACK-0064,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00066,Lattafa,Árabe,Hayaati Florence,,,,,,LATTAFA-HAYAATI-FLORENCE-0065,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00067,Lattafa,Árabe,His Confession,,,,,,LATTAFA-HIS-CONFESSION-0066,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00068,Lattafa,Árabe,His Confession Night Club,,,,,,LATTAFA-HIS-CONFESSION-NIGHT-CLU-0067,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00069,Lattafa,Árabe,Ishq Al Shuyukh Gold,,,,,,LATTAFA-ISHQ-AL-SHUYUKH-GOLD-0068,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00070,Lattafa,Árabe,Ishq Al Shuyukh Silver,,,,,,LATTAFA-ISHQ-AL-SHUYUKH-SILVER-0069,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00071,Lattafa,Árabe,Ishq Al Shuyukh Final Edition,,,,,,LATTAFA-ISHQ-AL-SHUYUKH-FINAL-ED-0070,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00072,Lattafa,Árabe,Khamrah,"Exquisito elixir gourmand especiado con canela cálida, nuez moscada, praliné de dátiles y madera de akigalawood.",Unisex,,,,LATTAFA-KHAMRAH-0071,Angels' Share,Kilian Paris,Inspirado / dupe,~86%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Canela, Nuez moscada, Bergamota. Corazón: Dátiles, Praliné, Tuberosa, Mahonial. Fondo: Vainilla, Haba tonka, Benjuí, Madera de Akigala, Mirra."
PERF-00073,Lattafa,Árabe,Khamrah Qahwa,"Exquisito elixir gourmand especiado con canela cálida, nuez moscada, praliné de dátiles y madera de akigalawood.",Unisex,,,,LATTAFA-KHAMRAH-QAHWA-0072,Angels' Share,Kilian Paris,Inspirado / dupe,~86%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Canela, Nuez moscada, Bergamota. Corazón: Dátiles, Praliné, Tuberosa, Mahonial. Fondo: Vainilla, Haba tonka, Benjuí, Madera de Akigala, Mirra."
PERF-00074,Lattafa,Árabe,Khamrah Dukhan,"Exquisito elixir gourmand especiado con canela cálida, nuez moscada, praliné de dátiles y madera de akigalawood.",Unisex,,,,LATTAFA-KHAMRAH-DUKHAN-0073,Angels' Share,Kilian Paris,Inspirado / dupe,~86%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Canela, Nuez moscada, Bergamota. Corazón: Dátiles, Praliné, Tuberosa, Mahonial. Fondo: Vainilla, Haba tonka, Benjuí, Madera de Akigala, Mirra."
PERF-00075,Lattafa,Árabe,Khamrah Elixir,"Exquisito elixir gourmand especiado con canela cálida, nuez moscada, praliné de dátiles y madera de akigalawood.",Unisex,,,,LATTAFA-KHAMRAH-ELIXIR-0074,Angels' Share,Kilian Paris,Inspirado / dupe,~86%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Canela, Nuez moscada, Bergamota. Corazón: Dátiles, Praliné, Tuberosa, Mahonial. Fondo: Vainilla, Haba tonka, Benjuí, Madera de Akigala, Mirra."
PERF-00076,Lattafa,Árabe,Khamrah Waha,"Exquisito elixir gourmand especiado con canela cálida, nuez moscada, praliné de dátiles y madera de akigalawood.",Unisex,,,,LATTAFA-KHAMRAH-WAHA-0075,Angels' Share,Kilian Paris,Inspirado / dupe,~86%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Canela, Nuez moscada, Bergamota. Corazón: Dátiles, Praliné, Tuberosa, Mahonial. Fondo: Vainilla, Haba tonka, Benjuí, Madera de Akigala, Mirra."
PERF-00077,Lattafa,Árabe,Khalis,,,,,,LATTAFA-KHALIS-0076,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00078,Lattafa,Árabe,Liam Grey,,,,,,LATTAFA-LIAM-GREY-0077,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00079,Lattafa,Árabe,Liam Blue Shine,,,,,,LATTAFA-LIAM-BLUE-SHINE-0078,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00080,Lattafa,Árabe,Liam Blue Shine Extrait,,,,,,LATTAFA-LIAM-BLUE-SHINE-EXTRAIT-0079,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00081,Lattafa,Árabe,Liam Silver,,,,,,LATTAFA-LIAM-SILVER-0080,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00082,Lattafa,Árabe,Liam Blue,,,,,,LATTAFA-LIAM-BLUE-0081,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00083,Lattafa,Árabe,Maahir Black Edition,,,,,,LATTAFA-MAAHIR-BLACK-EDITION-0082,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00084,Lattafa,Árabe,Maahir Gold,,,,,,LATTAFA-MAAHIR-GOLD-0083,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00085,Lattafa,Árabe,Maahir Legacy,,,,,,LATTAFA-MAAHIR-LEGACY-0084,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00086,Lattafa,Árabe,Maahir Legacy Silver,,,,,,LATTAFA-MAAHIR-LEGACY-SILVER-0085,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00087,Lattafa,Árabe,Maahir Gold Edition,,,,,,LATTAFA-MAAHIR-GOLD-EDITION-0086,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00088,Lattafa,Árabe,Maahir Honor,,,,,,LATTAFA-MAAHIR-HONOR-0087,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00089,Lattafa,Árabe,Masa,,,,,,LATTAFA-MASA-0088,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00090,Lattafa,Árabe,Mayar,,,,,,LATTAFA-MAYAR-0089,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00091,Lattafa,Árabe,Mayar Natural Intense,,,,,,LATTAFA-MAYAR-NATURAL-INTENSE-0090,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00092,Lattafa,Árabe,Mayar Cherry Intense,,,,,,LATTAFA-MAYAR-CHERRY-INTENSE-0091,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00093,Lattafa,Árabe,Mayar Rose,,,,,,LATTAFA-MAYAR-ROSE-0092,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00094,Lattafa,Árabe,Mawj,,,,,,LATTAFA-MAWJ-0093,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00095,Lattafa,Árabe,Mawj Moscow Mule,,,,,,LATTAFA-MAWJ-MOSCOW-MULE-0094,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00096,Lattafa,Árabe,Mawj Appletini,,,,,,LATTAFA-MAWJ-APPLETINI-0095,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00097,Lattafa,Árabe,Mawj Cognac,,,,,,LATTAFA-MAWJ-COGNAC-0096,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00098,Lattafa,Árabe,Musk Mood,,,,,,LATTAFA-MUSK-MOOD-0097,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00099,Lattafa,Árabe,Musk Mood Elixir,,,,,,LATTAFA-MUSK-MOOD-ELIXIR-0098,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00100,Lattafa,Árabe,Najdia,,,,,,LATTAFA-NAJDIA-0099,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00101,Lattafa,Árabe,Najdia Tribute,,,,,,LATTAFA-NAJDIA-TRIBUTE-0100,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00102,Lattafa,Árabe,Najdia Intense,,,,,,LATTAFA-NAJDIA-INTENSE-0101,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00103,Lattafa,Árabe,Nebras,,,,,,LATTAFA-NEBRAS-0102,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00104,Lattafa,Árabe,Niche Emarati Antique,,,,,,LATTAFA-NICHE-EMARATI-ANTIQUE-0103,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00105,Lattafa,Árabe,Niche Emarati Antique Gold,,,,,,LATTAFA-NICHE-EMARATI-ANTIQUE-GO-0104,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00106,Lattafa,Árabe,Niche Emarati Al Nashama,,,,,,LATTAFA-NICHE-EMARATI-AL-NASHAMA-0105,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00107,Lattafa,Árabe,Niche Emarati Khalidi,,,,,,LATTAFA-NICHE-EMARATI-KHALIDI-0106,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00108,Lattafa,Árabe,Niche Emarati Raw Human,,,,,,LATTAFA-NICHE-EMARATI-RAW-HUMAN-0107,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00109,Lattafa,Árabe,Noble Blush,,,,,,LATTAFA-NOBLE-BLUSH-0108,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00110,Lattafa,Árabe,Opulent Oud,,,,,,LATTAFA-OPULENT-OUD-0109,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00111,Lattafa,Árabe,Opulent Dubai,,,,,,LATTAFA-OPULENT-DUBAI-0110,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00112,Lattafa,Árabe,Opulent Musk,,,,,,LATTAFA-OPULENT-MUSK-0111,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00113,Lattafa,Árabe,Opulent Red,,,,,,LATTAFA-OPULENT-RED-0112,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00114,Lattafa,Árabe,Opulent Blue,,,,,,LATTAFA-OPULENT-BLUE-0113,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00115,Lattafa,Árabe,Qaed Al Fursan,"Aroma amaderado aromático y frutal dominado por piña jugosa, azafrán dulce, notas amaderadas y ámbar cálido.",Unisex,,,,LATTAFA-QAED-AL-FURSAN-0114,Black XS / Aventus,Paco Rabanne / Creed,Inspirado / dupe,~88%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Piña jugosa, Azafrán. Corazón: Jazmín, Bálsamo de abeto. Fondo: Madera de cedro, Ámbar, Madera de agar (Oud)."
